# метка	FULL-19c8ae8d · читатель 0a84da47 · 400 · seed 5
pl	немо	Zofia ma 4 książki, 48 kwiatów oraz 19 monet. ile rzeczy ma Zofia w sumie?	71 rzecz: 4 + 48 = 52, 52 + 19 = 71.	
en	немо	Felix has 4 more than three times the number of books Dima has. Felix has 61 books. how many books does Dima have?	61 − 4 = 57, 57 ÷ 3 = 19. so the answer is 19.	
ru	немо	кузнечик прыгнул на 18 шагов. мышь прыгнула на 9 шагов. на сколько меньше шагов прыгнула мышь, чем кузнечик?	18 − 9 = 9. значит ответ: 9.	
ru	немо	Марии 21 год. Вера вчетверо старше Марии. сколько лет будет Вере через 10 лет?	4 × 21 = 84, 84 + 10 = 94. значит ответ: 94.	
de	немо	Jonas zählt jeden Tag 15 Münzen. wie viele Münzen in 3 Tagen?	15 × 3 = 45. also ist die Antwort 45.	
pl	немо	Marek ma 25 piłek, 3 długopisy i 16 piłek. ile rzeczy ma Marek w sumie?	44 rzeczy: 25 + 3 = 28, 28 + 16 = 44.	
nl	немо	Sem had 16 ballen. Sem kreeg 1 bal. wat gebeurt er daarna?	Sem heeft 17 ballen: 16 + 1 = 17.	
other	немо	7 + 5 = 12. vous êtes sûr ?	oui : 12 − 5 = 7, donc 7 + 5 = 12.	
other	немо	come si può scrivere 4 + 4 + 4 in un altro modo?	3 × 4: sommare un numero tre volte significa prenderlo tre volte, ed entrambi sono 12.	
pl	немо	Anna ma 7 piłek. a Maria?	Maria ma 4 piłki.	
pl	немо	Piotr miał 16 piłek. Piotr oddał 1 piłka. Piotr ma 15 piłek. dlaczego tak myślisz?	bo było 16, a oddano 1: 16 − 1 = 15.	
es	немо	Elena tiene 27 huevos, 15 cartas, 20 manzanas. ¿cuántas cosas tiene Elena en total?	62 cosas: 27 + 15 = 42, 42 + 20 = 62.	
es	немо	Luis tenía 12 libros. Luis dio 4 libros. Luis tiene 8 libros. ¿por qué?	porque Luis tenía 12 y dio 4: 12 − 4 = 8.	
en	верно	the cat jumped 65 metres. the frog jumped 28 metres. how many fewer metres did the frog jump than the cat?	65 − 28 = 37. so the answer is 37.	65 − 28 = 37
en	немо	15 cars were in the parking lot. 8 more cars arrived. how many cars are in the parking lot now?	23 cars: 15 + 8 = 23.	
nl	верно	zijn 8 en 15 onderling ondeelbaar?	ja: de ggd van 8 en 15 is 1.	ja: de ggd van 8 en 15 is 1. their gcd is 1
ru	ложь	Вера собрала 27 яблок. потом она потеряла 13 из них. сколько яблок у Веры?	27 − 13 = 14.	27 + 13 = 40
en	немо	together Ann, Elena and Felix have 66 games. Ann has twice as many as Elena. Elena has 2 fewer than Felix. how many games does Ann have?	66 − 2 = 64, 2 + 1 + 1 = 4, 64 ÷ 4 = 16, 2 × 16 = 32. so the answer is 32.	
pl	немо	Paweł ma 6 jabłek. a gdyby było dwa razy więcej?	wtedy Paweł miałby 12 jabłek: 6 × 2 = 12.	
ru	немо	Иван купил 7 монет и 5 шариков в школе. сколько предметов купил Иван?	всего Иван купил 12 предметов: 7 + 5 = 12.	
pt	немо	3 é primo. 5 é primo. 7 é primo. segue-se que todo número ímpar maior que 1 é primo?	não: 9 não é primo, pois 9 = 3 × 3.	
de	немо	Jonas besitzt 6,40 Euro. er sparte 1,82 Euro. wie viel Geld hat er jetzt?	640 + 182 = 822 Cent. 822 Cent sind 8,22 Euro.	
ru	верно	Мария купила 19 яблок. она купила ещё 5. сколько яблок у Марии?	19 + 5 = 24.	19 + 5 = 24
en	верно	what is grid _____/___##/___#_/_____/_____ shifted down by 2?	grid _____/___##/___#_/_____/_____ shifted down by 2 is _____/_____/_____/___##/___#_.	_____/_____/_____/___##/___#_
en	немо	Grace has 4 eggs. Carla has 2 eggs more than Grace. how many eggs does Carla own now?	Carla owns 6 eggs: 4 + 2 = 6.	
nl	верно	Emma heeft 17 appels. ben je het ermee eens?	ja, ik ben het ermee eens: Emma heeft 17 appels.	17
en	немо	Grace has 27 cards and 141 coins. how many things does Grace have in all?	168 things: 27 + 141 = 168.	
en	немо	there are 6 calories in the basket. rosa took 4 calories. how many calories are there now?	6 − 4 = 2.	
de	немо	Paul hat 33 Eier plus 21 Münzen. wie viele Dinge hat Paul insgesamt?	54 Dinge: 33 + 21 = 54.	
en	верно	the dog flew 48 inches. the mouse flew 19 inches. how many fewer inches did the mouse fly than the dog?	48 − 19 = 29. so the answer is 29.	48 − 19 = 29
pt	верно	Maria tinha 45 flores. Maria vendeu 18 flores. quantas flores restam para Maria?	45 − 18 = 27. portanto a resposta é 27.	45 − 18 = 27
other	немо	Paul a 24 œufs. êtes-vous d'accord ?	oui, je suis d'accord : Paul a 24 œufs.	
en	немо	on monday Hugo ate 7 plums in the garden. what did Hugo eat in the garden on monday?	7 plums.	
en	немо	Cynthia has 15 pens. is it true that Cynthia has 19 pens?	no, Cynthia has 15 pens.	
fr	немо	Jules a 36 cartes, 6 œufs, 7 cartes. combien de choses a Jules en tout ?	49 choses : 36 + 6 = 42, 42 + 7 = 49.	
ru	немо	в комнате было 40 яблок. 14 яблок были красные. сколько яблок не были красными?	40 − 14 = 26. значит ответ: 26.	
it	немо	Chiara ha 27 palloni, 41 fiori più 8 libri. quante cose ha Chiara in tutto?	76 cose: 27 + 41 = 68, 68 + 8 = 76.	
nl	верно	Anna heeft 11 appels. bedoel je 11 appels?	ja, 11 appels.	11
pl	немо	Piotr ma 20 jabłek. czy chodzi ci o 20 jabłek?	tak, 20 jabłek.	
fr	немо	Léa a 23 cartes. qu'est-ce que tu as dit ?	je répète : Léa a 23 cartes.	
ru	немо	Лена сделала 24 отжимания. Мария сделала на 15 отжиманий больше, чем Лена. сколько отжиманий сделала Мария?	39: 24 + 15 = 39.	
fr	верно	Anne avait 45 fleurs. Anne a vendu 9 fleurs. combien de fleurs reste-t-il à Anne ?	45 − 9 = 36. donc la réponse est 36.	45 − 9 = 36
fr	немо	Léa a 30 fleurs rouges et 12 fleurs bleues. combien de fleurs Léa a-t-elle au total ?	42 fleurs : 30 + 12 = 42.	
en	верно	Dan had 90 eggs. Dan gave 57 eggs away. how many eggs are left?	90 − 57 = 33. so the answer is 33.	90 − 57 = 33
en	верно	what is hex 2a in decimal?	hex 2a is 42 in decimal.	hex 2a is 42 in decimal
nl	верно	Daan heeft 22 pennen. klopt het dat Daan 26 pennen heeft?	nee, Daan heeft 22 pennen.	22 + 22 = 44
ru	немо	у Ольги 7 монет. она отдала 2 монеты. сколько у неё осталось?	5 монет: 7 − 2 = 5.	
en	верно	Felix had 45 coins. Felix lost 24 coins. how many coins does Felix have left?	45 − 24 = 21. so the answer is 21.	45 − 24 = 21
it	верно	giovedì Matteo ha comprato 6 pere alla fiera. quante pere ha comprato Matteo alla fiera giovedì?	6.	6
de	немо	Anna hat 5 Münzen. stimmt es, dass Anna 9 Münzen hat?	nein, Anna hat 5 Münzen.	
pt	немо	João tem 16 flores. queres dizer 16 flores?	sim, 16 flores.	
pl	немо	Zofia ma 23 jabłka. ile ma Paweł?	Paweł ma 6 jabłek.	
en	немо	Felix has 7 flowers. Carla has 6 flowers. how many flowers do Felix and Carla hold altogether?	Felix and Carla hold 13 flowers.	
en	верно	Ava had 15 books. she gave some of them away. now she has 9 books left. how many books did she give away?	6: 15 − 9 = 6.	6: 15 − 9 = 6
en	немо	Dan has 18 pens, Dima has 4 pens. and if it were the other way round?	then Dan would have 4 pens and Dima would have 18 pens.	
en	верно	Tara has bought 3 books. Pia has bought 8 more books than Tara. how many books does Pia hold now?	Pia holds 11 books.	Pia holds 11 book
en	немо	there are 560 cards in the room. 55 of them are blue. how many are not blue?	560 − 55 = 505. so the answer is 505.	
nl	немо	op maandag at Bram 7 pruimen in de tuin. wat at Bram op maandag in de tuin?	7 pruimen.	
en	немо	Carla buys 8 cups at $4.60 each and 2 apples at $7.50 each. how much does she pay in all?	8 × 460 = 3680, 2 × 750 = 1500, 3680 + 1500 = 5180 cents. 5180 cents is $51.80.	
en	верно	Ann has 9 books. is that true?	yes, Ann has 9 books.	9
en	немо	Ben has 2 pages more than Elena. Elena has 4 pages. how many pages does Ben hold now?	Ben holds 6 pages: 4 + 2 = 6.	
en	верно	Grace has 2 fewer cookies than Carla. Carla has 10 cookies. how many cookies does Grace keep?	Grace keeps 8 cookies: 10 − 2 = 8.	10
ru	немо	у Ивана 178 яблок и 56 карт. сколько всего предметов у Ивана?	234 предмета: 178 + 56 = 234.	
de	немо	die Katze wog 46 Gramm und dann 14 Gramm. wie viel wog die Katze insgesamt?	60 Gramm: 46 + 14 = 60.	
en	немо	how many orders does arranging 7 items give?	arranging 7 items gives 5040 orders.	
en	немо	Ben has 5 apples. Grace has 1 apple fewer than Ben. how many apples does Grace keep?	Grace keeps 4 apples: 5 − 1 = 4.	
ru	ложь	у пии было 55 марок. пятая часть марок ушла. сколько марок осталось?	осталось 44 марки.	55
en	верно	Anna had 22 apples. Anna gave away 1 apple. Anna has 21 apples. why do you think so?	because Anna had 22 and gave away 1: 22 − 1 = 21.	22
en	верно	what is grid ___/#__/___ shifted right by 2?	grid ___/#__/___ shifted right by 2 is ___/__#/___.	___/__#/___
fr	верно	combien fait le produit de 8 et 5 ?	8 × 5 = 40.	8 × 5 = 40
pt	немо	Beatriz tem 17 maçãs. concorda?	sim, concordo: Beatriz tem 17 maçãs.	
en	верно	ida had 56 marbles. 1/2 of the marbles were sold. how many marbles are left?	28 marbles are left: 56 ÷ 2 = 28, 56 − 28 = 28.	56 × 1 = 56. 56 ÷ 2 = 28
ru	немо	у Ивана 17 яблок, 35 шаров и 4 карты. сколько всего предметов у Ивана?	56 предметов: 17 + 35 = 52, 52 + 4 = 56.	
ru	немо	у Оли 23 цветка. вы сказали, что у Оли 27 цветков. это верно?	нет, у Оли 23 цветка.	
en	верно	vera packed 7 gallons. vera used 1 gallon away. how many gallons does vera keep?	vera keeps 6 gallons: 7 − 1 = 6.	7 − 1 = 6
de	верно	welche Zahl kommt vor 8?	vor 8 kommt 7.	vor 8 kommt 7
pt	немо	Pedro tem 20 cartas. é verdade?	sim, Pedro tem 20 cartas.	
pt	немо	Rui tem 9 ovos mais 17 flores. quantas coisas Rui tem no total?	26 coisas: 9 + 17 = 26.	
de	немо	Lena hat 2 Münzen. Jonas hat viermal so viele Münzen wie Lena. wie viele Münzen hat Jonas?	4 × 2 = 8. also ist die Antwort 8.	
es	немо	Carlos tiene 40 manzanas rojas y 15 manzanas azules. ¿cuántas manzanas tiene Carlos en total?	55 manzanas: 40 + 15 = 55.	
en	верно	Anna has 22 apples. is that true?	yes, Anna has 22 apples.	22
ru	немо	у меня 2 яблока. я съем 1. сколько останется?	1: 2 − 1 = 1.	
nl	немо	op vrijdag las Bram 7 brieven op school. hoeveel brieven las Bram op vrijdag op school?	7.	
en	верно	pia picked 10 pieces. pia gave 4 pieces away. how many pieces does pia keep?	pia keeps 6 pieces: 10 − 4 = 6.	pia keeps 6 pieces: 10 − 4 = 6
en	немо	Elena has 1 more than twice as many books as Ben. Ben has 6 books. how many books does Elena own now?	Elena owns 13 books.	
pl	немо	Piotr ma 22 jajka. powiedział pan, że Piotr ma 26 jajek. czy to prawda?	nie, Piotr ma 22 jajka.	
en	верно	the cat jumped 65 inches. the mouse jumped 28 inches. how many fewer inches did the mouse jump than the cat?	65 − 28 = 37. so the answer is 37.	65 − 28 = 37
ru	немо	у Коли 18 страниц чтения и 11 страниц математики. сколько страниц у него всего?	29 страниц: 18 + 11 = 29.	
en	ложь	Ivan shared 6 coins among 3 friends. how many coins did each friend get?	each friend got 2 coins.	18
es	немо	Luis tiene 16 flores. ¿estás de acuerdo?	sí, estoy de acuerdo: Luis tiene 16 flores.	
en	немо	Cynthia has 13 flowers. Felix has 23 flowers. how many flowers do they have together?	13 + 23 = 36. so the answer is 36.	
ru	верно	помоги, пожалуйста: чему равно 100 умножить на 2?	100 × 2 = 200.	100 × 2 = 200. помоги, пожалуйста — это просьба
it	немо	Paolo ha 14 mele. è vero che Paolo ha 18 mele?	no, Paolo ha 14 mele.	
ru	немо	у Лены 10 книг. согласен ли ты?	да, я согласен: у Лены 10 книг.	
de	верно	wie viele Tage haben 3 Wochen?	21: 3 × 7 = 21.	21: 3 × 7 = 21
fr	верно	aidez-moi, s'il vous plaît : que font 18 divisé par 6 ?	18 ÷ 6 = 3.	18 ÷ 6 = 3
en	немо	what is (−3, −2) reflected in the y-axis?	(−3, −2) reflected in the y-axis is (3, −2): y stays, x changes sign.	
en	немо	Ben reads 8 pages. Ben writes 1 page more. how many pages does Ben own now?	Ben owns 9 pages: 8 + 1 = 9.	
en	верно	vera bought 10 pairs. vera got 4 pairs more. how many pairs does vera hold now?	vera holds 14 pairs: 10 + 4 = 14.	vera holds 14 pairs: 10 + 4 = 14
nl	немо	Daan heeft 12 eieren, 8 appels plus 5 munten. hoeveel dingen heeft Daan in totaal?	25 dingen: 12 + 8 = 20, 20 + 5 = 25.	
ru	немо	у Вани 5 чашек. согласны ли вы?	да, я согласен: у Вани 5 чашек.	
it	немо	Chiara ha 13 uova. quante ne ha Marco?	Marco ha 6 uova.	
other	немо	Léa a 17 pièces. vous voulez dire 17 pièces ?	oui, 17 pièces.	
en	верно	Carla takes 7 degrees. Carla drops 3 degrees away. how many degrees does Carla save?	Carla saves 4 degrees.	7 − 3 = 4
en	верно	the frog crawled 18 metres. the mouse crawled 9 metres. how many fewer metres did the mouse crawl than the frog?	18 − 9 = 9. so the answer is 9.	18 − 9 = 9
de	немо	Anna hat 13 Blumen. meinen Sie 13 Blumen?	ja, 13 Blumen.	
en	верно	sven counted 7 yards. sven found 1 yard more. how many yards does sven hold now?	sven holds 8 yards: 7 + 1 = 8.	sven holds 8 yards: 7 + 1 = 8
es	немо	en el parque había 12 flores y 11 libros. llegaron 2 flores más. ¿cuántas flores más que libros hay en el parque?	12 + 2 = 14, 14 − 11 = 3. así que la respuesta es 3.	
en	верно	the mouse swam 31 feet. the grasshopper swam 25 feet. how many more feet did the mouse swim than the grasshopper?	31 − 25 = 6. so the answer is 6.	31 − 25 = 6
ru	немо	у Вани 19 цветков, у Димы 5 цветков. что если наоборот?	тогда у Вани 5 цветков, а у Димы 19 цветков.	
de	немо	Emma heeft 5 pennen, Lotte heeft 4 pennen. en als het omgekeerd was?	dan zou Emma 4 pennen hebben en Lotte 5 pennen.	
en	верно	Grace has 5 tablespoons. Ben has 5 tablespoons. how many tablespoons do Grace and Ben own in all?	Grace and Ben own 10 tablespoons: 5 + 5 = 10.	5 + 5 = 10
pl	немо	Ewa miała 5 piłek. Ewa dostała 4 piłki. co dalej?	Ewa ma 9 piłek: 5 + 4 = 9.	
en	немо	Carla has 11 apples, Cynthia has 6 apples. what if it were the other way round?	then Carla would have 6 apples and Cynthia would have 11 apples.	
en	верно	what is 4 × 2 − 3?	4 × 2 − 3 = 5.	4 × 2 = 8. 8 − 3 = 5
ru	немо	что значит «#### stone {#stone-4}»?	заголовок может назвать свой якорь: к заголовку камень ведёт #stone-4.	
fr	верно	samedi Anne a mis 4 tasses dans le sac. qu'est-ce qu'Anne a mis dans le sac samedi ?	4 tasses.	4 tasses
fr	немо	Paul a 31 pommes, 45 œufs et 6 ballons. combien de choses a Paul en tout ?	82 choses : 31 + 45 = 76, 76 + 6 = 82.	
de	немо	Anna hatte 12 Apps auf dem Handy. sie fügte 5 neue Apps hinzu. wie viele Apps hat sie jetzt?	17: 12 + 5 = 17.	
en	верно	the kangaroo swam 18 feet. the dog swam 9 feet. how many more feet did the kangaroo swim than the dog?	18 − 9 = 9. so the answer is 9.	18 − 9 = 9
ru	немо	у Оли 35 ручек, 45 чашек, 8 ручек. сколько всего предметов у Оли?	88 предметов: 35 + 45 = 80, 80 + 8 = 88.	
es	немо	Diego tenía 10 huevos. Diego recibió 3 huevos. ¿qué pasa después?	Diego tiene 13 huevos: 10 + 3 = 13.	
de	немо	Paul hat 9 Münzen. er gab 4 Münzen weg. wie viele hat er noch?	5 Münzen: 9 − 4 = 5.	
nl	верно	Emma heeft 19 eieren. ben je het ermee eens?	ja, ik ben het ermee eens: Emma heeft 19 eieren.	19
en	верно	Carla has 9 meals. Hugo has 2 meals. how many meals do Carla and Hugo hold altogether?	Carla and Hugo hold 11 meals.	9 + 2 = 11
pt	верно	Anne avait 13 œufs. Anne a reçu 6 œufs de plus. combien d'œufs a Anne maintenant ?	13 + 6 = 19. donc la réponse est 19.	13 + 6 = 19
ru	немо	у Маши 28 монет и 54 ручки. сколько всего предметов у Маши?	82 предмета: 28 + 54 = 82.	
de	верно	vier Siebtel einer Zahl sind 36. welche Zahl ist es?	36 sind vier Siebtel von 63: 36 ÷ 4 = 9, 9 × 7 = 63.	36 sind vier Siebtel von 63: 36 ÷ 4 = 9, 9 × 7 = 63
de	немо	am Anfang hatte Max 40 Tassen. danach bekam er 15 mehr. wie viele Tassen hat er jetzt?	55: 40 + 15 = 55.	
pt	немо	Beatriz tem 40 canetas, 26 livros mais 7 maçãs. quantas coisas Beatriz tem no total?	73 coisas: 40 + 26 = 66, 66 + 7 = 73.	
en	немо	Ava has 15 balls together with 7 pens. how many things does Ava have in all?	22 things: 15 + 7 = 22.	
fr	немо	Hugo a 30 livres, 40 cartes ainsi que 19 pièces. combien de choses a Hugo en tout ?	89 choses : 30 + 40 = 70, 70 + 19 = 89.	
de	немо	fünf Neuntel der Arbeiter haben einen Stift; 64 haben keinen. wie viele Arbeiter gibt es?	64 sind vier Neuntel von 144: 9 − 5 = 4, 64 ÷ 4 = 16, 16 × 9 = 144.	
en	немо	Felix has 9 apples, Greg has 4 apples. and if it were the other way round?	then Felix would have 4 apples and Greg would have 9 apples.	
en	верно	Cynthia has 17 apples. is that true?	yes, Cynthia has 17 apples.	17
other	немо	Anne a 19 pommes. vous avez dit qu'Anne a 23 pommes. c'est vrai ?	non, Anne a 19 pommes.	
en	немо	Carla is three times older than Ben. together they are 32 years old. how old is Ben?	1 + 3 = 4, 32 ÷ 4 = 8. so the answer is 8.	
nl	немо	Luuk had 8 ballen. Luuk gaf 1 bal weg. Luuk heeft 7 ballen. waarom heeft Luuk 7 ballen?	omdat Luuk er 8 had en 1 weggaf: 8 − 1 = 7.	
en	немо	what is the determinant of the matrix [2 3; 4 2]?	the matrix [2 3; 4 2] has determinant -8: 2 × 2 = 4, 3 × 4 = 12, 4 − 12 = -8.	
pl	немо	Jan ma 22 długopisy. ile ma Piotr?	Piotr ma 3 długopisy.	
ru	немо	у Марии 13 книг. правда ли, что у Марии 17 книг?	нет, у Марии 13 книг.	
en	немо	Carla is twice as old as Dan. together they are 36 years old. how old is Dan?	1 + 2 = 3, 36 ÷ 3 = 12. so the answer is 12.	
it	немо	Giulia ha 18 fiori oltre a 58 palloni. quante cose ha Giulia in tutto?	76 cose: 18 + 58 = 76.	
en	верно	Carlos had 10 eggs. Carlos gave away 3 eggs. Carlos has 7 eggs. why do you think so?	because Carlos had 10 and gave away 3: 10 − 3 = 7.	10
en	немо	Hugo has 14 eggs. what if there were twice as many?	then Hugo would have 28 eggs: 14 × 2 = 28.	
pl	верно	Maria ma 11 monet. czy to prawda, że Maria ma 15 monet?	nie, Maria ma 11 monet.	11 + 11 = 22
en	немо	Hugo has 7 apples. Elena has 2 more apples than Hugo. how many apples does Elena hold now?	Elena holds 9 apples: 7 + 2 = 9.	
ru	немо	у Веры 32 книги, 52 ручки, 11 книг. сколько всего предметов у Веры?	95 предметов: 32 + 52 = 84, 84 + 11 = 95.	
en	верно	the dog swam 27 inches. the frog swam 12 inches. how many more inches did the dog swim than the frog?	27 − 12 = 15. so the answer is 15.	27 − 12 = 15
en	немо	Dan paid 600 cents for a apple that costs 410 cents. how much change did Dan get?	600 − 410 = 190 cents.	
nl	немо	de kat woog 46 gram en daarna 14 gram. hoeveel woog de kat in totaal?	60 gram: 46 + 14 = 60.	
pl	немо	Jan ma 16 jajek. a gdyby było dwa razy więcej?	wtedy Jan miałby 32 jajka: 16 × 2 = 32.	
it	немо	sullo scaffale c'erano 8 uova e 70 mele. adesso ci sono 18 uova e 96 mele sullo scaffale. quante uova hanno aggiunto?	18 − 8 = 10. quindi la risposta è 10.	
de	немо	Felix hat 30 Blumen, 46 Bälle, 1 Stift. wie viele Dinge hat Felix insgesamt?	77 Dinge: 30 + 46 = 76, 76 + 1 = 77.	
pt	верно	8 é um número par ou ímpar?	par: 8 = 2 × 4.	par: 8 = 2 × 4
en	немо	Hugo has 41 eggs, 49 books as well as 4 cards. how many things does Hugo have in all?	94 things: 41 + 49 = 90, 90 + 4 = 94.	
de	немо	Paul hat 36 Blumen, 22 Eier und 13 Münzen. wie viele Dinge hat Paul insgesamt?	71 Dinge: 36 + 22 = 58, 58 + 13 = 71.	
pt	немо	na prateleira havia 10 flores. tiraram 8 flores. quantas flores há agora?	10 − 8 = 2. portanto a resposta é 2.	
en	верно	Carla takes 11 days. Carla needs 2 days more. how many days does Carla own now?	Carla owns 13 days.	Carla owns 13 days
en	немо	Ava had 15 books. Ava gave away 1 book. Ava has 14 books. why does Ava have 14 books?	because Ava had 15 and gave away 1: 15 − 1 = 14.	
en	верно	Ava had 65 balls. Ava got 4 balls more. how many balls does Ava have now?	65 + 4 = 69. so the answer is 69.	65 + 4 = 69
en	немо	how many bits does a sign of an alphabet of 16 signs cost?	a sign of an alphabet of 16 signs costs 4 bits: 2^4 = 16.	
ru	немо	Том заплатил 500 копеек, а яблоко стоила 330 копеек. сколько сдачи получил Том?	500 − 330 = 170 копеек.	
ru	верно	чему равна медиана 2 8 5?	медиана 2 8 5 равна 5.	5
en	верно	the dog swam 31 feet. the frog swam 25 feet. how many more feet did the dog swim than the frog?	31 − 25 = 6. so the answer is 6.	31 − 25 = 6
de	немо	Paul hat 24 Bälle, 22 Karten, 3 Blumen. wie viele Dinge hat Paul insgesamt?	49 Dinge: 24 + 22 = 46, 46 + 3 = 49.	
en	верно	what does sorting 8 3 5 1 9 give?	sorting 8 3 5 1 9 gives 1 3 5 8 9.	9
ru	немо	у Ивана 24 цветка да 48 чашек. сколько всего предметов у Ивана?	72 предмета: 24 + 48 = 72.	
en	немо	in 9 years Carlos will be 35 years old. how old is Carlos now?	35 − 9 = 26. so the answer is 26.	
ru	немо	у меня 9 шаров, у тебя 6 шаров. на сколько у меня больше?	на 3: 9 − 6 = 3.	
ru	немо	лягушка прыгнула на 8 сантиметров, потом ещё на 8 сантиметров. на сколько сантиметров прыгнула лягушка всего?	на 16 сантиметров: 8 + 8 = 16.	
en	верно	Carla has 30 red flowers and 12 blue flowers. how many flowers does Carla have?	a total of 42 flowers: 30 + 12 = 42.	30 + 12 = 42
nl	немо	Daan heeft 22 ballen, 44 munten, 17 eieren. hoeveel dingen heeft Daan in totaal?	83 dingen: 22 + 44 = 66, 66 + 17 = 83.	
de	немо	am Anfang hatte Lena 15 Bücher. danach bekam sie 6 mehr. wie viele Bücher hat sie jetzt?	21: 15 + 6 = 21.	
en	немо	Cynthia has $75. she earns $30 per day. a guitar costs $855. how many days does she need?	855 − 75 = 780, 780 ÷ 30 = 26. so the answer is 26.	
pl	немо	Paweł miał 10 kwiatów. Paweł oddał 3 kwiaty. Paweł ma 7 kwiatów. dlaczego Paweł ma 7 kwiatów?	ponieważ Paweł miał 10 i oddał 3: 10 − 3 = 7.	
en	немо	Dima has 17 flowers. you said that Dima has 21 flowers. is that right?	no, Dima has 17 flowers.	
