# ФОРМЫ ВОПРОСА СВОДА И ТО, ЧИТАЕТ ЛИ ИХ КТО-НИБУДЬ (06.09)
#
# СЛОВА ВОПРОСА НЕ ЧИТАЕТ НИКТО — не в одном суде, а в корпусе вообще.
# Порченый вопрос («кратн ли 7 числу 3?») остаётся вопросной половиной
# объявленной пары и покрыт правилом (б) закона покрытия; пара проверяет
# ВЕЛИЧИНЫ вопроса и их порядок, а слова — нет.
#
#     ЗАКОН ПАРЫ ЧИТАЕТ ВЕЛИЧИНЫ, И ПОТОМУ ОН СЛЕП НА ВОПРОС О СВОЙСТВЕ.
#     «чётно ли 32?» и «чётн ли 32?» несут одни и те же величины в одном
#     порядке — пара их не различает, а иного читателя у вопроса нет.
#
# ЧИТАЕТСЯ ли форма — проверено ПОРЧЕЙ первого слова вопроса в три буквы:
# если вердикт СТРОКИ дрогнул (ложь или немота), слова читал кто-то.
# Выборка: 40 строк на мир.
форма	миры	строк	читается	пример
am {Носитель} waren es −# {Носитель}. es wurde um # {Носитель} wärmer. wie viel {Носитель} sind es jetzt?	signedworld	4	да	am Morgen waren es −8 Grad. es wurde um 9 Grad wärmer. wie viel Grad sind es jetzt?
compute # + #	genesis_bignum,ruler_dense,school_biling_v2c	4	да	compute 6 + 4
creo que todo número divisible por # es divisible por #. ¿cómo se puede comprobar?	hypo	4	да	creo que todo número divisible por 7 es divisible por 14. ¿cómo se puede comprobar?
czy # jest liczbą pierwszą?	inquiry_pl_tr,primes_langs	4	да	czy 85 jest liczbą pierwszą?
czy # ma się do # jak # do #?	analog	4	да	czy 4 ma się do 10 jak 6 do 16?
der {Носитель} wiegt # {Носитель} # {Носитель}. # {Носитель} # {Носитель} wurden hineingegeben. wie viel wiegt der {Носитель}?	mixedunits	4	да	der Sack wiegt 6 Kilogramm 810 Gramm. 1 Kilogramm 290 Gramm wurden hineingegeben. wie viel wiegt der Sack?
does # have exactly two divisors?	inquiry,numbers	4	да	does 27 have exactly two divisors?
find # − #	arith_langs,ruler_dense,school_biling_v2c	4	да	find 20 − 15
hai detto che togliendo # a # restano #. è così?	object	4	да	hai detto che togliendo 4 a 18 restano 14. è così?
il sacco pesava # chilogrammi # grammi. ne sono stati tolti # chilogrammi # grammi. quanto pesa il sacco adesso?	mixedunits	4	да	il sacco pesava 8 chilogrammi 40 grammi. ne sono stati tolti 3 chilogrammi 790 grammi. quanto pesa il sacco ad
ile wynosi # zaokrąglone do dziesiątek?	roundforms	4	да	ile wynosi 47 zaokrąglone do dziesiątek?
ile wynosi wyraz numer # ciągu od # o kroku #?	sequences_langs	4	да	ile wynosi wyraz numer 7 ciągu od 17 o kroku 8?
im {Носитель} sind # {Носитель}. der erste {Носитель} erstellt # {Носитель}. ich denke, ich werde # antworten. wie viele {Носитель} sind im {Носитель}?	selfmodelforms	4	да	im Ordner sind 4 Dateien. der erste Akt erstellt 6 Dateien. ich denke, ich werde 12 antworten. wie viele Datei
is # a root of x^# - # x + # = #?	equation,equation_signed	4	да	is 19 a root of x^2 - 29 x + 208 = 0?
is # priem?	primes_langs	4	да	is 78 priem?
je zei dat # min # # is. klopt dat?	object	4	да	je zei dat 18 min 4 14 is. klopt dat?
quanto # é mais quente do que −#?	signedworld	4	да	quanto 2 é mais quente do que −11?
quel est le terme numéro # de la progression partant de # avec le pas # ?	sequences_langs	4	да	quel est le terme numéro 2 de la progression partant de 3 avec le pas 9 ?
tu as dit que # moins # fait #. est-ce exact ?	object	4	да	tu as dit que 12 moins 5 fait 7. est-ce exact ?
was heißt „{Носитель}“ auf {Носитель}?	translate	4	да	was heißt „Haus“ auf Italienisch?
what does the arithmetic progression from # with step # give?	sequences	4	да	what does the arithmetic progression from 16 with step 5 give?
what follows from # being divisible by #?	infer,speech	4	да	what follows from 16 being divisible by 8?
what is # divided by #?	remainders	4	да	what is 30 divided by 7?
what is #% of #?	notation,percent	4	да	what is 50% of 18?
what is term number # of the progression from # with step #?	sequences	4	да	what is term number 5 of the progression from 18 with step 2?
what is the area of a triangle with base # and height #?	formulas,geometry	4	да	what is the area of a triangle with base 7 and height 8?
what is the number "#" in #×# glyphs?	glyphs	4	да	what is the number "300" in 5×7 glyphs?
what is the sum of # # # #?	sequences	4	да	what is the sum of 10 15 20 25?
{Носитель} collected # seeds. {Носитель} found # seeds more. how many seeds does {Носитель} hold now?	realverbs	4	да	Cynthia collected 4 seeds. Cynthia found 2 seeds more. how many seeds does Cynthia hold now?
{Носитель} had # coins. {Носитель} gave # coins away. how many coins are left?	heads	4	да	Yuri had 5 coins. Yuri gave 4 coins away. how many coins are left?
¿cuánto es # redondeado a la decena?	roundforms	4	да	¿cuánto es 93 redondeado a la decena?
¿es verdad que # + # = #?	verifyforms	4	да	¿es verdad que 93 + 68 = 171?
как ещё пишется «x^# - # x + # = #»?	notationvar	4	да	как ещё пишется «x^2 - 6 x + 23 = 0»?
как ещё пишется «y^# + # y + # = #»?	notationvar	4	да	как ещё пишется «y^2 + 8 y + 27 = 0»?
как записать # римскими цифрами?	roman	4	да	как записать 76 римскими цифрами?
кратно ли # числу #?	inquiry,ru_compare	4	да	кратно ли 176 числу 3?
найди # + #	arith_langs,genesis_bignum,ruler_dense,school_biling_v2c	4	да	найди 3 + 2
попадает ли контур с целью #, начав с # при шаге # точно в цель?	cybernetics	4	НЕТ	попадает ли контур с целью 27, начав с 6 при шаге 4 точно в цель?
сколько будет # × #?	genesis_bignum,longdiv	4	да	сколько будет 50 × 9?
сколько возмущений различают вместе два регулятора с # и # состояниями?	cybernetics	4	да	сколько возмущений различают вместе два регулятора с 2 и 4 состояниями?
сколько недель в # днях?	ru_conversions	4	да	сколько недель в 56 днях?
сколько рублей в # копейках?	ru_conversions	4	да	сколько рублей в 400 копейках?
ты сказал, что от # отнять # будет #. так ли это?	object	4	да	ты сказал, что от 40 отнять 15 будет 26. так ли это?
чему равна поверхность коробки # на # на #?	geometry	4	да	чему равна поверхность коробки 4 на 5 на 4?
чему равно # + #?	genesis_bignum,ruler_dense	4	да	чему равно 12 + 1?
чему равно # умножить на (#, #)?	linalg	4	да	чему равно 2 умножить на (1, 2)?
что даёт сортировка [# # #]?	prog	4	да	что даёт сортировка [1 6 4]?
я думаю, что всякое число, делящееся на #, делится на #. как это проверить?	hypo	4	да	я думаю, что всякое число, делящееся на 7, делится на 14. как это проверить?
является ли # корнем x^# - # x + # = #?	equation	4	да	является ли 1 корнем x^2 - 3 x + 2 = 0?
# aprile. # giorni dopo. che data sarà?	dateforms	3	да	29 aprile. 5 giorni dopo. che data sarà?
# bölü # kaçtır?	remainders_langs	3	да	20 bölü 9 kaçtır?
# degrees {Носитель} — how much is that in {Носитель}?	tempscale	3	да	86 degrees Fahrenheit — how much is that in Celsius?
# degrés {Носитель} — combien cela fait-il en {Носитель} ?	tempscale	3	да	25 degrés Celsius — combien cela fait-il en Fahrenheit ?
# dzieci jeździło na karuzeli. ile dzieci jeździło na karuzeli?	numphrase	3	да	101 dzieci jeździło na karuzeli. ile dzieci jeździło na karuzeli?
# est à # ce que # est à quoi ?	analog	3	да	8 est à 12 ce que 10 est à quoi ?
# est-il un nombre premier ?	inquiry_de_fr	3	да	50 est-il un nombre premier ?
# est-il à # ce que # est à # ?	analog	3	да	4 est-il à 10 ce que 6 est à 16 ?
# está para # como # está para #?	analog	3	да	9 está para 15 como 12 está para 21?
# está para # como # está para quê?	analog	3	да	3 está para 12 como 4 está para quê?
# graden {Носитель} — hoeveel is dat in {Носитель}?	tempscale	3	да	41 graden Fahrenheit — hoeveel is dat in Celsius?
# gradi {Носитель} — quanto fa in {Носитель}?	tempscale	3	да	35 gradi Celsius — quanto fa in Fahrenheit?
# niños montaban en el tiovivo. ¿cuántos niños montaban en el tiovivo?	numphrase	3	да	111 niños montaban en el tiovivo. ¿cuántos niños montaban en el tiovivo?
# stopni {Носитель} — ile to jest {Носитель}?	tempscale	3	да	35 stopni Celsjusza — ile to jest Fahrenheita?
# verhält sich zu # wie # zu was?	analog	3	да	8 verhält sich zu 12 wie 10 zu was?
# {Носитель}. # days later. what date will it be?	dateforms	3	да	28 March. 6 days later. what date will it be?
# è primo?	primes_langs	3	да	56 è primo?
# è un numero primo?	inquiry_es_it	3	да	50 è un numero primo?
# é primo?	primes_langs	3	да	9 é primo?
# относится к #, как # к #?	analog	3	да	9 относится к 15, как 12 к 21?
afirmação: # + # = #. verificação: # + # = #. qual é o veredicto?	verifyforms	3	да	afirmação: 88 + 63 = 151. verificação: 88 + 63 = 151. qual é o veredicto?
anna heeft # boeken meer, maar # potloden minder. hoeveel boeken meer?	numphrase	3	да	anna heeft 12 boeken meer, maar 7 potloden minder. hoeveel boeken meer?
are # + # and # × # the same?	rewrite	3	да	are 7 + 7 and 3 × 7 the same?
are # and # congruent modulo #?	numbers	3	да	are 56 and 8 congruent modulo 4?
ci sono # voci nella scatola. il primo atto crea # voci. penso che risponderò #. quanti voci ci sono nella scatola?	selfmodelforms	3	да	ci sono 9 voci nella scatola. il primo atto crea 5 voci. penso che risponderò 15. quanti voci ci sono nella sc
combien vaut un tiers de # ?	share_langs	3	да	combien vaut un tiers de 9 ?
comment dire autrement # minutes ?	unitfrac	3	да	comment dire autrement 15 minutes ?
compute # ÷ #	arith_langs,school_biling_v2c	3	да	compute 2 ÷ 1
das {Носитель} dauert # {Носитель}. wie lange dauert das {Носитель}?	unit_counts	3	да	das Treffen dauert 2 Jahre. wie lange dauert das Treffen?
die {Носитель} dauert # {Носитель}. wie lange dauert die {Носитель}?	unit_counts	3	да	die Reise dauert 5 Stunden. wie lange dauert die Reise?
each pack costs $#. the discount is $# on each pack. how many packs can be bought for $#?	discountroad	3	да	each pack costs $52. the discount is $14 on each pack. how many packs can be bought for $208?
er liggen # bestanden in de map. de eerste handeling maakt # bestanden aan. ik denk dat ik # zal antwoorden. hoeveel bestanden liggen in de map?	selfmodelforms	3	да	er liggen 7 bestanden in de map. de eerste handeling maakt 6 bestanden aan. ik denk dat ik 15 zal antwoorden. 
es gibt # {Носитель}. es gibt dreimal so viele {Носитель} wie {Носитель}. wie viele {Носитель} gibt es insgesamt?	relations_story	3	да	es gibt 18 Hunde. es gibt dreimal so viele Katzen wie Hunde. wie viele Tiere gibt es insgesamt?
hay # manzanas en la cesta: # rojas y # verdes. ¿hay verdes?	quantforms	3	да	hay 15 manzanas en la cesta: 11 rojas y 4 verdes. ¿hay verdes?
hoeveel is # afgerond op honderdtallen?	roundforms	3	да	hoeveel is 594 afgerond op honderdtallen?
how many ways does choosing # from # give?	statistics	3	да	how many ways does choosing 3 from 6 give?
how much is # − #?	genesis_bignum,school_biling_v2c	3	да	how much is 18 − 1?
how old was {Носитель} # years ago?	age	3	да	how old was Tom 5 years ago?
i think every number divisible by # is divisible by #. how can that be tested?	hypo	3	да	i think every number divisible by 7 is divisible by 14. how can that be tested?
il treno è partito alle #:#. il viaggio dura # ore # minuti. quando arriva?	clockforms	3	да	il treno è partito alle 11:45. il viaggio dura 2 ore 35 minuti. quando arriva?
ile minut to # godzina?	units_langs	3	да	ile minut to 10 godzina?
im {Носитель} sind # Äpfel: # rote und # grüne. gibt es grün?	quantforms	3	да	im Korb sind 5 Äpfel: 3 rote und 2 grüne. gibt es grün?
in the morning it was −# degrees. it became # degrees warmer. how many degrees is it now?	signedworld	3	да	in the morning it was −3 degrees. it became 9 degrees warmer. how many degrees is it now?
is # alleen door # en zichzelf deelbaar?	inquiry_pt_nl	3	да	is 113 alleen door 1 en zichzelf deelbaar?
jede {Носитель} kostet # €. der {Носитель} beträgt # € auf jede {Носитель}. wie viele {Носитель} kann man für # € kaufen?	discountroad	3	да	jede Karte kostet 71 €. der Rabatt beträgt 33 € auf jede Karte. wie viele Karten kann man für 152 € kaufen?
l'orologio segna #:#. come si dice a parole?	clockwords	3	да	l'orologio segna 7:45. come si dice a parole?
o comboio vai a # km/h. que distância percorre em # horas?	speedforms	3	да	o comboio vai a 60 km/h. que distância percorre em 3 horas?
ogni pacco costa # €. lo sconto è di # € su ogni pacco. quanto si paga per # pacchi?	discountroad	3	да	ogni pacco costa 39 €. lo sconto è di 21 € su ogni pacco. quanto si paga per 3 pacchi?
penso che ogni numero divisibile per # sia divisibile per #. come si può verificarlo?	hypo	3	да	penso che ogni numero divisibile per 3 sia divisibile per 6. come si può verificarlo?
pociąg odjechał o #:# i przyjechał o #:#. jak długo jechał?	clockforms	3	да	pociąg odjechał o 16:55 i przyjechał o 19:20. jak długo jechał?
pociąg przejechał # km z prędkością # km/h. w ile godzin przejechał tę drogę?	speedforms	3	да	pociąg przejechał 225 km z prędkością 75 km/h. w ile godzin przejechał tę drogę?
qual è il termine numero # della progressione da # con passo #?	sequences_langs	3	да	qual è il termine numero 7 della progressione da 17 con passo 8?
quanto é # arredondado à centena?	roundforms	3	да	quanto é 750 arredondado à centena?
quel est # arrondi à la centaine ?	roundforms	3	да	quel est 950 arrondi à la centaine ?
se n è pari, n + # è pari?	inquiry_es_it	3	да	se n è pari, n + 8 è pari?
stimmt es, dass # + # = #?	verifyforms	3	да	stimmt es, dass 93 + 68 = 171?
teile # gleichmäßig durch #. was kommt heraus?	opforms	3	да	teile 30 gleichmäßig durch 6. was kommt heraus?
the numbers: #, #, #. which number is between the other two?	orderforms	3	да	the numbers: 6, 19, 11. which number is between the other two?
there are # vehicles in a yard, bicycles and cars. a bicycle has # wheels and a car has # wheels. there are # wheels in all. how many bicycles are there?	two_kinds	3	да	there are 14 vehicles in a yard, bicycles and cars. a bicycle has 2 wheels and a car has 4 wheels. there are 4
uma maçã custa # euros. tenho # euros. quanto falta para # maçãs?	enough	3	да	uma maçã custa 3 euros. tenho 12 euros. quanto falta para 5 maçãs?
un livre coûte # euros. combien coûtent # livres ?	price	3	да	un livre coûte 3 euros. combien coûtent 2 livres ?
un livre coûte # euros. j'ai # euros. est-ce assez pour # livres ?	enough	3	да	un livre coûte 4 euros. j'ai 15 euros. est-ce assez pour 4 livres ?
una matita costa # euro. quanto costano # matite?	price	3	да	una matita costa 2 euro. quanto costano 4 matite?
usted dijo que quitando # a # quedan #. ¿es así?	object	3	да	usted dijo que quitando 9 a 24 quedan 15. ¿es así?
verhält sich # zu # wie # zu #?	analog	3	да	verhält sich 9 zu 15 wie 12 zu 21?
wat is # gedeeld door #?	remainders_langs	3	да	wat is 27 gedeeld door 5?
wat is de snelheid van een lichaam dat # meter in # seconden aflegt?	physics_langs	3	да	wat is de snelheid van een lichaam dat 110 meter in 10 seconden aflegt?
what does force = mass × acceleration give for # and #?	physics	3	да	what does force = mass × acceleration give for 3 and 3?
what does speed = distance / time give for # and #?	physics	3	да	what does speed = distance / time give for 48 and 8?
what does the subtraction of # from # give?	surfaces	3	да	what does the subtraction of 4 from 28 give?
what is # mod #?	numbers	3	да	what is 13 mod 4?
what is # rounded to the nearest ten?	roundforms	3	да	what is 85 rounded to the nearest ten?
what is hex # in decimal?	machine	3	да	what is hex 6 in decimal?
what is the entropy of # equally likely outcomes?	compsci	3	да	what is the entropy of 64 equally likely outcomes?
what is the mean of # # #?	statistics	3	да	what is the mean of 1 4 10?
what is the product for i from # to #?	programs	3	да	what is the product for i from 3 to 7?
what is the sum for i from # to #?	programs	3	да	what is the sum for i from 2 to 7?
wie groß ist die Fläche eines {Носитель} mit {Носитель} #?	geometry_langs	3	да	wie groß ist die Fläche eines Quadrats mit Seite 5?
wie schreibt man # in römischen {Носитель}?	roman	3	да	wie schreibt man 3 in römischen Ziffern?
wie viele {Носитель} sind # {Носитель}?	units_langs	3	да	wie viele Minuten sind 3 Stunden?
{Носитель} collected # cards. {Носитель} found # cards more. how many cards does {Носитель} hold now?	realverbs	3	да	Wanda collected 6 cards. Wanda found 2 cards more. how many cards does Wanda hold now?
{Носитель} collected # pencils. {Носитель} found # pencils more. how many pencils does {Носитель} hold now?	realverbs	3	да	Wanda collected 9 pencils. Wanda found 2 pencils more. how many pencils does Wanda hold now?
{Носитель} ha # anni. quanti anni ha {Носитель}?	holdforms	3	да	Anna ha 37 anni. quanti anni ha Anna?
{Носитель} haben gesagt, dass # minus # # macht. stimmt das?	object	3	да	Sie haben gesagt, dass 40 minus 15 26 macht. stimmt das?
{Носитель} had # balls. {Носитель} got # balls. how many balls does {Носитель} have now?	heads	3	да	Nick had 3 balls. Nick got 2 balls. how many balls does Nick have now?
{Носитель} had # nuts. {Носитель} gave # nut away. how many nuts are left?	heads	3	да	Ann had 5 nuts. Ann gave 1 nut away. how many nuts are left?
{Носитель} had # stamps. {Носитель} got # stamps. how many stamps does {Носитель} have now?	heads	3	да	Nick had 6 stamps. Nick got 2 stamps. how many stamps does Nick have now?
{Носитель} hatte # Bücher und {Носитель} und {Носитель} hatten # Bücher. {Носитель} gab ihnen # Bücher. wie viele Bücher hat {Носитель} jetzt?	pronobject	3	да	Ben hatte 25 Bücher und Anna und Mia hatten 9 Bücher. Ben gab ihnen 13 Bücher. wie viele Bücher hat Ben jetzt?
{Носитель} packed # seeds. {Носитель} used # seed away. how many seeds does {Носитель} keep?	realverbs	3	НЕТ	Tom packed 4 seeds. Tom used 1 seed away. how many seeds does Tom keep?
{Носитель} packed # shells. {Носитель} used # shells away. how many shells does {Носитель} keep?	realverbs	3	да	Tom packed 5 shells. Tom used 3 shells away. how many shells does Tom keep?
¿cuál es el perímetro de un cuadrado de lado #?	geometry_langs	3	да	¿cuál es el perímetro de un cuadrado de lado 13?
¿cuánto es # dividido entre #?	remainders_langs	3	да	¿cuánto es 27 dividido entre 5?
¿es # primo?	primes_langs	3	да	¿es 18 primo?
больше ли # нуля?	proof	3	НЕТ	больше ли 2 нуля?
в коробке # ручек. {Носитель} взяла # ручки. сколько ручек теперь в коробке?	ru_story	3	НЕТ	в коробке 10 ручек. Маша взяла 3 ручки. сколько ручек теперь в коробке?
вы сказали, что от # отнять # будет #. так ли это?	object	3	да	вы сказали, что от 40 отнять 15 будет 26. так ли это?
вычисли # − #	arith_langs,ruler_dense	3	да	вычисли 8 − 1
даёт ли давление = сила ÷ площадь целое число при # и #?	physlaws	3	НЕТ	даёт ли давление = сила ÷ площадь целое число при 36 и 6?
есть ли единственная медиана у # # #?	statistics	3	НЕТ	есть ли единственная медиана у 5 2 9?
как ещё пишется «# x^# - # x = #»?	notationvar	3	да	как ещё пишется «3 x^2 - 8 x = 0»?
на ферме # животных, куриц и коров. у курицы # ноги, а у коровы # ноги. всего # ног. сколько куриц?	two_kinds	3	да	на ферме 16 животных, куриц и коров. у курицы 2 ноги, а у коровы 4 ноги. всего 46 ног. сколько куриц?
первая глава — # страниц длиной. какой длины первая глава?	numphrase	3	да	первая глава — 60 страниц длиной. какой длины первая глава?
поезд выехал в #:# и приехал в #:#. сколько он ехал?	clockforms	3	да	поезд выехал в 16:45 и приехал в 18:25. сколько он ехал?
поезд прошёл # км со скоростью # км/ч. за сколько часов он прошёл этот путь?	speedforms	3	да	поезд прошёл 350 км со скоростью 50 км/ч. за сколько часов он прошёл этот путь?
сколько будет #, если округлить до десятков?	roundforms	3	да	сколько будет 35, если округлить до десятков?
сколько источников насчитал у меня прибор biblio_reach во втором замере # сентября # года?	selfmeasure	3	да	сколько источников насчитал у меня прибор biblio_reach во втором замере 2 сентября 2026 года?
сколько монет стало у {Носитель}?	genesis_story	3	да	сколько монет стало у Ани?
сколько секунд в трёх минутах?	ru_conversions,timeunits	3	да	сколько секунд в трёх минутах?
чего я не показывал во втором замере # сентября # года по прибору concept_reach?	selfmeasure	3	да	чего я не показывал во втором замере 2 сентября 2026 года по прибору concept_reach?
чему равна медиана # # #?	statistics	3	да	чему равна медиана 12 3 9?
чему равна сумма # # # #?	algorithms,sequences	3	да	чему равна сумма 7 2 9 1?
чему равно # × #?	arith_langs,genesis_bignum	3	да	чему равно 90 × 3?
чему равно ( #^# )^#?	algebra	3	да	чему равно ( 5^3 )^3?
чему равно (#, #) − (#, #)?	linalg	3	да	чему равно (1, 2) − (3, 1)?
что даёт давление = сила ÷ площадь при # и #?	physlaws	3	да	что даёт давление = сила ÷ площадь при 42 и 6?
# asal sayı mıdır?	inquiry_pl_tr	2	да	51 asal sayı mıdır?
# bambini andavano sulla giostra. quanti bambini andavano sulla giostra?	numphrase	2	да	29 bambini andavano sulla giostra. quanti bambini andavano sulla giostra?
# czerwca. # dni wcześniej. jaka była data?	dateforms	2	да	2 czerwca. 4 dni wcześniej. jaka była data?
# de junho. # dias antes. que data era?	dateforms	2	да	2 de junho. 4 dias antes. que data era?
# dzieli się przez #. czy wynika z tego, że # dzieli się przez #?	infer	2	да	20 dzieli się przez 4. czy wynika z tego, że 20 dzieli się przez 8?
# enfants étaient dans le bus. # enfants sont descendus. combien d'enfants y a-t-il dans le bus maintenant ?	action_measure_langs	2	да	28 enfants étaient dans le bus. 14 enfants sont descendus. combien d'enfants y a-t-il dans le bus maintenant ?
# est-il premier ?	primes_langs	2	да	30 est-il premier ?
# février. # jours plus tard. quelle date sera-t-il ?	dateforms	2	да	25 février. 11 jours plus tard. quelle date sera-t-il ?
# ile başlayan ve adımı # olan dizinin # numaralı terimi kaçtır?	sequences_langs	2	да	21 ile başlayan ve adımı 2 olan dizinin 4 numaralı terimi kaçtır?
# is # percent of what number?	shares_percent	2	да	20 is 80 percent of what number?
# is niet deelbaar door #. volgt daaruit dat # niet deelbaar is door #?	infer	2	да	6 is niet deelbaar door 4. volgt daaruit dat 6 niet deelbaar is door 2?
# is to # as # is to what?	analog	2	да	7 is to 21 as 9 is to what?
# kinderen reden op de draaimolen. hoeveel kinderen reden op de draaimolen?	numphrase	2	да	111 kinderen reden op de draaimolen. hoeveel kinderen reden op de draaimolen?
# newton kuvvetin # metrekare üzerindeki basıncı kaçtır?	physics_langs	2	да	10 newton kuvvetin 5 metrekare üzerindeki basıncı kaçtır?
# saniyede # metre yol alan bir cismin hızı kaçtır?	physics_langs	2	да	7 saniyede 42 metre yol alan bir cismin hızı kaçtır?
# sayısının yüzde # kısmı kaçtır?	stats_langs	2	да	90 sayısının yüzde 30 kısmı kaçtır?
# {Носитель} fuhren {Носитель}. wie viele {Носитель} fuhren {Носитель}?	numphrase	2	да	29 Kinder fuhren Karussell. wie viele Kinder fuhren Karussell?
# × # e # + # sono la stessa cosa?	rewrite	2	да	9 × 2 e 9 + 2 sono la stessa cosa?
# × # et # + # sont-ils la même chose ?	rewrite	2	да	9 × 2 et 9 + 2 sont-ils la même chose ?
# çift mi tek mi?	inquiry_pl_tr	2	да	7 çift mi tek mi?
