a silly huge bench	which order is right?	«a silly huge bench» or «a huge silly bench»?
a lovely tiny shelf	which order is right?	«a lovely tiny shelf» or «a tiny lovely shelf»?
a lovely tiny lamp	which order is right?	«a lovely tiny lamp» or «a tiny lovely lamp»?
a lovely tiny bowl	which order is right?	«a lovely tiny bowl» or «a tiny lovely bowl»?
a lovely tiny clock	which order is right?	«a lovely tiny clock» or «a tiny lovely clock»?
a lovely tiny bench	which order is right?	«a lovely tiny bench» or «a tiny lovely bench»?
a big old shelf	which order is right?	«a big old shelf» or «an old big shelf»?
a big old lamp	which order is right?	«a big old lamp» or «an old big lamp»?
a big old bowl	which order is right?	«a big old bowl» or «an old big bowl»?
a big old clock	which order is right?	«a big old clock» or «an old big clock»?
a big old bench	which order is right?	«a big old bench» or «an old big bench»?
a small new shelf	which order is right?	«a small new shelf» or «a new small shelf»?
a small new lamp	which order is right?	«a small new lamp» or «a new small lamp»?
a small new bowl	which order is right?	«a small new bowl» or «a new small bowl»?
a small new clock	which order is right?	«a small new clock» or «a new small clock»?
a small new bench	which order is right?	«a small new bench» or «a new small bench»?
a huge young shelf	which order is right?	«a huge young shelf» or «a young huge shelf»?
a huge young lamp	which order is right?	«a huge young lamp» or «a young huge lamp»?
a huge young bowl	which order is right?	«a huge young bowl» or «a young huge bowl»?
a huge young clock	which order is right?	«a huge young clock» or «a young huge clock»?
a huge young bench	which order is right?	«a huge young bench» or «a young huge bench»?
a tiny old shelf	which order is right?	«a tiny old shelf» or «an old tiny shelf»?
a tiny old lamp	which order is right?	«a tiny old lamp» or «an old tiny lamp»?
a tiny old bowl	which order is right?	«a tiny old bowl» or «an old tiny bowl»?
a tiny old clock	which order is right?	«a tiny old clock» or «an old tiny clock»?
a tiny old bench	which order is right?	«a tiny old bench» or «an old tiny bench»?
